"code","distribution","ncuts","ncond","run","truemean","trueshape","truesdlog"
"exp_cut005_cond300_rep002","exponential",5,300,2,1.29292929292929,NA,NA
"exp_cut005_cond300_rep003","exponential",5,300,3,1.58585858585859,NA,NA
"exp_cut005_cond300_rep004","exponential",5,300,4,1.87878787878788,NA,NA
"exp_cut005_cond300_rep005","exponential",5,300,5,2.17171717171717,NA,NA
"exp_cut005_cond300_rep006","exponential",5,300,6,2.46464646464646,NA,NA
"exp_cut005_cond300_rep007","exponential",5,300,7,2.75757575757576,NA,NA
"exp_cut005_cond300_rep008","exponential",5,300,8,3.05050505050505,NA,NA
"exp_cut005_cond300_rep009","exponential",5,300,9,3.34343434343434,NA,NA
"exp_cut005_cond300_rep010","exponential",5,300,10,3.63636363636364,NA,NA
"exp_cut005_cond300_rep011","exponential",5,300,11,3.92929292929293,NA,NA
"exp_cut005_cond300_rep012","exponential",5,300,12,4.22222222222222,NA,NA
"exp_cut005_cond300_rep013","exponential",5,300,13,4.51515151515152,NA,NA
"exp_cut005_cond300_rep014","exponential",5,300,14,4.80808080808081,NA,NA
"exp_cut005_cond300_rep015","exponential",5,300,15,5.1010101010101,NA,NA
"exp_cut005_cond300_rep016","exponential",5,300,16,5.39393939393939,NA,NA
"exp_cut005_cond300_rep017","exponential",5,300,17,5.68686868686869,NA,NA
"exp_cut005_cond300_rep018","exponential",5,300,18,5.97979797979798,NA,NA
"exp_cut005_cond300_rep019","exponential",5,300,19,6.27272727272727,NA,NA
"exp_cut005_cond300_rep020","exponential",5,300,20,6.56565656565657,NA,NA
"exp_cut005_cond300_rep021","exponential",5,300,21,6.85858585858586,NA,NA
"exp_cut005_cond300_rep022","exponential",5,300,22,7.15151515151515,NA,NA
"exp_cut005_cond300_rep023","exponential",5,300,23,7.44444444444444,NA,NA
"exp_cut005_cond300_rep024","exponential",5,300,24,7.73737373737374,NA,NA
"exp_cut005_cond300_rep025","exponential",5,300,25,8.03030303030303,NA,NA
"exp_cut005_cond300_rep026","exponential",5,300,26,8.32323232323232,NA,NA
"exp_cut005_cond300_rep027","exponential",5,300,27,8.61616161616162,NA,NA
"exp_cut005_cond300_rep028","exponential",5,300,28,8.90909090909091,NA,NA
"exp_cut005_cond300_rep029","exponential",5,300,29,9.2020202020202,NA,NA
"exp_cut005_cond300_rep030","exponential",5,300,30,9.49494949494949,NA,NA
"exp_cut005_cond300_rep031","exponential",5,300,31,9.78787878787879,NA,NA
"exp_cut005_cond300_rep032","exponential",5,300,32,10.0808080808081,NA,NA
"exp_cut005_cond300_rep033","exponential",5,300,33,10.3737373737374,NA,NA
"exp_cut005_cond300_rep034","exponential",5,300,34,10.6666666666667,NA,NA
"exp_cut005_cond300_rep035","exponential",5,300,35,10.959595959596,NA,NA
"exp_cut005_cond300_rep036","exponential",5,300,36,11.2525252525253,NA,NA
"exp_cut005_cond300_rep037","exponential",5,300,37,11.5454545454545,NA,NA
"exp_cut005_cond300_rep038","exponential",5,300,38,11.8383838383838,NA,NA
"exp_cut005_cond300_rep039","exponential",5,300,39,12.1313131313131,NA,NA
"exp_cut005_cond300_rep040","exponential",5,300,40,12.4242424242424,NA,NA
"exp_cut005_cond300_rep041","exponential",5,300,41,12.7171717171717,NA,NA
"exp_cut005_cond300_rep042","exponential",5,300,42,13.010101010101,NA,NA
"exp_cut005_cond300_rep043","exponential",5,300,43,13.3030303030303,NA,NA
"exp_cut005_cond300_rep044","exponential",5,300,44,13.5959595959596,NA,NA
"exp_cut005_cond300_rep045","exponential",5,300,45,13.8888888888889,NA,NA
"exp_cut005_cond300_rep046","exponential",5,300,46,14.1818181818182,NA,NA
